,Unnamed: 0.1,text
0,0,"rt @rk_techno: really grat app
pure make in india 100% pure indian

#upmanchapp @upmanchindia 
@_digitalindia @narendramodi @makeinindia 
#boycottchina #indianapp https://t.co/i6ozbbvtzy"
1,1,"rt @jay91743745: @matanevenoff thanks for your support 💪
#boycottmulan to support freedom 💪
#standwithhongkong 
#boycottchina
we need help
#sos #hkers"
2,2,#hongkong #democracyforhk #humanrights #antinationalsecuritylaw #ccp_is_terrorist #ccp #freehongkong #standwithhk #antichinazi #boycottchina #hongkongneedshelp #hongkongsecuritylaw #freedomofspeech #fightforfreedom #soshk https://t.co/31kizqgqno
3,3,"rt @mrocksmedia: the department for promotion of industry and internal trade (dpiit) asked e-commerce platforms including amazon and flipkart to display the ‘country of origin’ of the products on their websites.

#makeinindia
#onlineshopping
#amazon
#flipkart
#boycottchineseproduct 
#boycottchina https://t.co/hkxgnxhpqv"
4,4,"rt @olivierberiaul1: $800,000 worth of 13-ton real human hair was detected in us custom. 

the hair was harvested from #uyghur detainees in chinese concentration camps. 

act now.

🛑 stop buying made in china

retweet if you agree.

#uyghurs 
#boycottchinaproducts #boycottchina https://t.co/e8tfaeptf6"
5,5,"rt @theharshadahir: today, we are launching garud file transfer, share apps, movies, music, documents, and more.

- no ads
- very easy and clean user interface
- made in india

hoping for your love and support.

download here : https://t.co/pcjdjyd32y

#boycottchina #swadeshifirst
#vocalforlocal ❤️ https://t.co/rtrnkjue2x"
6,6,"@theharshadahir the phone itself is from a chinese company ^_^
#boycottchina ?"
7,7,"rt @netcab_tamil: சாத்தான்களின் ஆட்சி நடைபெறுகிறதா? 
watch this video 👇👇👇
https://t.co/lyekjiewi3
@maridhasanswers

 #tiktok #boycottchina #boycottchineseproduct #59appsbanned #ammk #ttvdhinakaran #ammkitwing #maridhas https://t.co/puhiqwhqir"
8,8,#chinesevirus #chinaliedpeopledied #freetibet #tibetisnotchina #freetibethongkongtaiwanaksaichin #aksaibharat #aksaichin #aksaiindia #hongkongisnotchina #hongkong #taiwan #boycottchina #boycottchineseapp #boycottmadeinchina #indiawillpunishchina #indiachinastandoff #jaihind https://t.co/hn5m4fpjhj
9,9,"rt @driverrrrh: @guardian #china crackdown an international financial centre easily and no one can stop it ! 

it's a global threat.

#boycottchina https://t.co/cguhfencs3"
10,10,"#boycottchina
#boycottchineseproduct
#boycottchineseproducts

oneplus nord india launch set for july 21, pre-orders from july 15

let us not buy this product, it's flop show will set the tone for #aatmanirbharbharat

🙏🙏"
11,11,"@mrocksmedia corona update in india!

confirmed: 762823
active: 271507
recovered: 470144
deaths: 21072
updated: 08/07/2020 20:53:53

#boycottchina #replaceit

for remove chinese apps download replace it - https://t.co/1fl5dav5j3 https://t.co/2cymp72vy6"
12,12,"@iamsaddammujeeb corona update in india!

confirmed: 762823
active: 271507
recovered: 470144
deaths: 21072
updated: 08/07/2020 20:53:53

#boycottchina #replaceit

for remove chinese apps download replace it - https://t.co/1fl5dav5j3 https://t.co/gdruw7quk9"
13,13,"@shktom corona update in india!

confirmed: 762823
active: 271507
recovered: 470144
deaths: 21072
updated: 08/07/2020 20:53:53

#boycottchina #replaceit

for remove chinese apps download replace it - https://t.co/1fl5dav5j3 https://t.co/5mrks733ew"
14,14,"@chandni99865621 corona update in india!

confirmed: 762823
active: 271507
recovered: 470144
deaths: 21072
updated: 08/07/2020 20:53:53

#boycottchina #replaceit

for remove chinese apps download replace it - https://t.co/1fl5dav5j3 https://t.co/rlbfkoojiv"
15,15,"@hkgersm corona update in india!

confirmed: 762823
active: 271507
recovered: 470144
deaths: 21072
updated: 08/07/2020 20:53:53

#boycottchina #replaceit

for remove chinese apps download replace it - https://t.co/1fl5dav5j3 https://t.co/wvw93ueell"
16,16,"@veerahindustani corona update in india!

confirmed: 762823
active: 271507
recovered: 470144
deaths: 21072
updated: 08/07/2020 20:53:53

#boycottchina #replaceit

for remove chinese apps download replace it - https://t.co/1fl5dav5j3 https://t.co/ozl79r0jym"
17,17,"@caitindia @praveendel @bcbhartia @sumitagarwal_82 @narendramodi @piyushgoyal @amitshah @rajnathsingh @wangchuk66 @rsprasad @rssorg @swadeshimanch @drmohanbhagwat @aicpdf @aimraindia @aitwaho we are always with on #boycottchina mission 👍👍

🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳"
18,18,"rt @olivierberiaul1: $800,000 worth of 13-ton real human hair was detected in us custom. 

the hair was harvested from #uyghur detainees in chinese concentration camps. 

act now.

🛑 stop buying made in china

retweet if you agree.

#uyghurs 
#boycottchinaproducts #boycottchina https://t.co/e8tfaeptf6"
19,19,rt @chandni99865621: proud of dem🇮🇳...#herocycles #boycottchineseproducts #boycottchina https://t.co/p1ablnrzdr
20,20,"rt @knowthenation: here are a few aatmanirbhar indian apps that can replace the 59 banned chinese apps!

#aatmanirbharbharat #boycottchina #boycottchineseapps https://t.co/vx8ug3szzt"
21,21,"rt @googoom1: #boycottchina 
#boycottmadeinchina 
#boycottchineseproducts 
#muslimwakeup https://t.co/enuonlaep5"
22,22,proud of dem🇮🇳...#herocycles #boycottchineseproducts #boycottchina https://t.co/p1ablnrzdr
23,23,rt @blahblahbleh14: @thehill #boycottchina https://t.co/rxhvbzh4n8
24,24,"rt @boycottchina0: تیس لاکھ #ایغور مسلمان جیل میں اور انکےبچے جنکی تعداد تقریبا پانچ لاکھ ہے سرکاری یتیم خانوں میں ہیں
اس حالت میں یہ بچےکورونا سے بچ پائیں گے؟
#boycottchina
#covid2019
#stolenchildren #uyghur 
https://t.co/aiiuei4qjw"
25,25,"@globaltimesnews #boycottchina 
#boycottchineseproducts"
26,26,"$800,000 worth of 13-ton real human hair was detected in us custom. 

the hair was harvested from #uyghur detainees in chinese concentration camps. 

act now.

🛑 stop buying made in china

retweet if you agree.

#uyghurs 
#boycottchinaproducts #boycottchina https://t.co/e8tfaeptf6"
