,Tweets,subjectivity,polarity,analysis
0,rt techno really grat app pure make india 100 pure indian upmanchapp digitalindia boycottchina indianapp,0.39999999999999997,0.20952380952380953,Positive
1,rt thanks support boycottmulan support freedom standwithhongkong boycottchina need help sos hkers,0.2,0.2,Positive
2,rt 800 000 worth 13 ton real human hair detected us custom hair harvested uyghur detainees chinese concentration camps act stop buying made china retweet agree uyghurs boycottchinaproducts boycottchina,0.08333333333333333,0.09999999999999999,Positive
3,rt today launching garud file transfer share apps movies music documents ads easy clean user interface made india hoping love support download boycottchina swadeshifirst vocalforlocal,0.7111111111111111,0.43333333333333335,Positive
4,rt china crackdown international financial centre easily one stop global threat boycottchina,0.20833333333333334,0.10833333333333334,Positive
5,rt 800 000 worth 13 ton real human hair detected us custom hair harvested uyghur detainees chinese concentration camps act stop buying made china retweet agree uyghurs boycottchinaproducts boycottchina,0.08333333333333333,0.09999999999999999,Positive
6,rt proud dem herocycles boycottchineseproducts boycottchina,1.0,0.8,Positive
7,proud dem herocycles boycottchineseproducts boycottchina,1.0,0.8,Positive
8,800 000 worth 13 ton real human hair detected us custom hair harvested uyghur detainees chinese concentration camps act stop buying made china retweet agree uyghurs boycottchinaproducts boycottchina,0.08333333333333333,0.09999999999999999,Positive
9,watching change diapers lol boycottchina boycottchineseproducts freetibet hongkongindependence hongkongisnotchina chinesevirus,0.7,0.8,Positive
10,patrick boycottchina important step safeguarding national security,1.0,0.4,Positive
11,apparently today china restaurants hotels boardings cafes started boycotting indians still accepting chinese products boycottchina boycottchineseproducts democracyforchina,0.175,0.025,Positive
12,rt camscanner banned india given pdf uploaded sub divisional officer pune scanned camscanner penal action using banned apps boycottchineseproduct boycottchina,0.1,0.1,Positive
13,rt camscanner banned india given pdf uploaded sub divisional officer pune scanned camscanner penal action using banned apps boycottchineseproduct boycottchina,0.1,0.1,Positive
14,com gutter heaven uighur best place khatana boycottmadeinchina boycottchina sushantsingrajput boycottchineseproducts,0.3,1.0,Positive
15,rt today launching garud file transfer share apps movies music documents ads easy clean user interface made india hoping love support download boycottchina swadeshifirst vocalforlocal,0.7111111111111111,0.43333333333333335,Positive
16,rt today launching garud file transfer share apps movies music documents ads easy clean user interface made india hoping love support download boycottchina swadeshifirst vocalforlocal,0.7111111111111111,0.43333333333333335,Positive
